"id_receita","receitas_concatenadas"
2,"colares, Mini Gorros de Papai Noel, colares, Lã algodão 4 - Azul Claro, colares, Barbante Natural 2 - Cru"
3,"cestas organizadoras, Chapéu de Inverno, cestas organizadoras, Lã Amigurumi Soft - Azul Escuro"
4,"porta-shampoo, Olhos de Gato de Plástico 6mm, porta-shampoo, Óculos de Mergulho, porta-shampoo, Lã Amigurumi Soft - Vermelho Claro, porta-shampoo, Lã Amigurumi Soft - Rosa"
5,"mochilas, Boca de Cachorro 12mm, mochilas, Lã Amigurumi  Pelúcia - Rosa Claro"
6,"cachecois, Lã Amigurumi  Pelúcia - Rosa, golas, Lã Amigurumi  Pelúcia - Rosa"
7,"capas para garrafas de agua quente, Óculos de Sol, capas para garrafas de agua quente, Lã Amigurumi  Pelúcia - Rosa Escuro, porta-toalhas, Óculos de Sol, porta-toalhas, Lã Amigurumi  Pelúcia - Rosa Escuro"
8,"bichinhos, Barbante 8 - Branco, bichinhos, Barbante 4 - Laranja"
9,"blusas, Chapéu de Sol, blusas, Focinho de Porco 20mm, blusas, Lã Amigurumi Soft - Verde, blusas, Lã Amigurumi  Pelúcia - Vermelho, capas para livros, Chapéu de Sol, capas para livros, Focinho de Porco 20mm, capas para livros, Lã Amigurumi Soft - Verde, capas para livros, Lã Amigurumi  Pelúcia - Vermelho"
10,"saidas de praia, Agulha de Crochê 4,0 mm, saidas de praia, Lã algodão 4 - Roxo Claro, saidas de praia, Lã algodão 4 - Vermelho"
11,"chapeus, Mini Gorros de Papai Noel, chapeus, Bolinhas decorativas, xales, Mini Gorros de Papai Noel, xales, Bolinhas decorativas"
12,"toalhas de mesa, Lã Amigurumi Soft - Branco, toalhas de mesa, Lã Amigurumi Soft - Amarelo Escuro, babadores, Lã Amigurumi Soft - Branco, babadores, Lã Amigurumi Soft - Amarelo Escuro"
13,"porta-talheres, Agulha de Crochê 4,0 mm, porta-talheres, Lã algodão 4 - Verde Escuro"
14,"vestidos, Boca de Cachorro 12mm, vestidos, Boca de Sorriso 15mm, vestidos, Lã Amigurumi  Pelúcia - Azul Escuro"
15,"golas, Lã Amigurumi  Brilho - Azul Claro, golas, Barbante Natural 6 - Roxo Claro, capas para almofadas, Lã Amigurumi  Brilho - Azul Claro, capas para almofadas, Barbante Natural 6 - Roxo Claro"
